21	Matthias Hemmje	0	3	
31	Joachim Diederich	0	2	
36	Wei Li	0	1	
55	Roger King	0	0	
80	Timothy W. Finin	0	2	
107	Sheau-Dong Lang	0	3	
116	Sukhamay Kundu	0	2	
125	Markus Schneider	0	0	
143	Jun Chen	0	0	
147	Yan Liu	0	3	
150	Hongwei Zhang	0	1	
154	Ling Feng	0	1	
175	Shusaku Tsumoto	0	1	
182	Benjamin G. Zorn	0	0	
200	Munindar P. Singh	0	2	
232	Jun Yan	0	1	
237	Avraham Leff	0	0	
243	Ajay Gupta	0	0	
248	Tao Wang	0	2	
253	Sadok Ben Yahia	0	1	
254	Maarten Marx	0	0	
257	Andrzej Szalas	0	2	
258	Jian Chen	0	1	
263	Franz Baader	0	2	
280	William Adams	0	2	
300	Norman K. Sondheimer	0	2	
306	Robert St. Amant	0	2	
308	Richard Fikes	0	2	
315	Evan Sultanik	0	2	
336	Cecile T. Balkanski	0	2	
344	Bikramjit Banerjee	0	2	
370	Mehdi T. Harandi	0	2	
388	Gheorghe Tecuci	0	2	
400	Benjamin W. Wah	0	2	
401	David Kortenkamp	0	2	
443	Mark E. Stickel	0	2	
455	Jens Christensen	0	2	
461	Tad Hogg	0	2	
475	Daniel D. Suthers	0	2	
483	Susan Craw	0	2	
498	Denver Dash	0	2	
508	Mike Williamson	0	2	
525	Maheshkumar Sabhnani	0	1	
538	Susan P. Ennis	0	2	
541	Marco Gori	0	2	
544	John O. Everett	0	2	
552	Jimmy Ho-Man Lee	0	2	
560	Robert C. Holte	0	2	
567	Andrew P. Witkin	0	2	
574	Susan Fox	0	2	
581	Daniel Frost	0	2	
592	John Gaschnig	0	2	
594	Martin Gebser	0	2	
597	Christopher W. Geib	0	2	
600	Melinda T. Gervasio	0	2	
602	Lise Getoor	0	1	
615	Devika Subramanian	0	2	
633	Steve G. Romaniuk	0	2	
653	Jeff Rickel	0	2	
662	Jinbo Huang	0	2	
663	Gary H. Ogasawara	0	2	
678	Takayuki Ito	0	2	
686	Daniel Boley	0	1	
695	Sanjaya Addanki	0	2	
701	Jeff Pepper	0	2	
702	Meir Kalech	0	2	
735	K. Ramesh	0	2	
752	Robert Levinson	0	2	
764	Prasad Tadepalli	0	2	
765	Gerald Liu	0	2	
809	James R. Meehan	0	2	
812	Arthur C. Sanderson	0	2	
824	Leora Morgenstern	0	2	
868	Massimo Poesio	0	2	
871	K. Prazdny	0	2	
872	Steven David Prestwich	0	2	
896	David B. Skalak	0	2	
900	David E. Wilkins	0	2	
905	Mehran Sahami	0	2	
918	Albrecht Schmiedel	0	2	
921	L. Y. Shih	0	2	
939	Steven L. Small	0	2	
942	Paul Smolensky	0	2	
943	A. Ricardo Morales	0	2	
944	Vishal Soni	0	2	
974	Ke Wang	0	1	
980	Lawrence K. Saul	0	2	
983	Robert S. Galen	0	2	
984	Nitin Indurkhya	0	1	
989	William M. Wells III	0	2	
1025	Han Lin	0	2	
1028	Zhenglu Yang	0	2	
1031	H. Brendan McMahan	0	2	
1032	Dan Klein	0	2	
1035	Tony Veale	0	2	
1050	Christian Meilicke	0	2	
1064	Meghyn Bienvenu	0	2	
1075	Kasia Muldner	0	2	
1083	Masashi Sugiyama	0	2	
1092	Jordi Levy	0	2	
1097	Christopher Kiekintveld	0	2	
1111	Piero A. Bonatti	0	2	
1121	Yunbo Cao	0	3	
1122	Hae-Chang Rim	0	3	
1123	Yonatan Aumann	0	1	
1131	Boris Motik	0	2	
1147	Yves Kodratoff	0	2	
1153	Bob J. Wielinga	0	2	
1169	Ting Liu	0	3	
1172	Nikolay G. Zagoruiko	0	2	
1177	Pablo Castells	0	3	
1183	Shlomo Argamon	0	3	
1185	Phil Blunsom	0	3	
1194	Wen-Hsiang Lu	0	3	
1197	Kenneth Ward Church	0	3	
1213	Xinsong Xia	0	3	
1233	Youngjoong Ko	0	3	
1237	Bin Ma	0	3	
1242	Benjamin Taskar	0	2	
1260	Frank A. Smadja	0	3	
1267	Erik F. Tjong Kim Sang	0	3	
1274	Jing Jiang	0	3	
1302	David B. Lomet	0	0	
1315	Richard J. Reid	0	2	
1321	Dan E. Willard	0	0	
1341	Evimaria Terzi	0	1	
1355	Martin Gogolla	0	0	
1356	Heinrich Jasper	0	0	
1357	Mariano P. Consens	0	0	
1359	Alejandro P. Buchmann	0	0	
1368	Felix Naumann	0	1	
1381	Sotiris Brakatsoulas	0	0	
1404	C. Mohan	0	0	
1408	Guido Proietti	0	1	
1417	Xiaochun Yang	0	0	
1420	Anastasios Gounaris	0	0	
1426	Jean-Marie Nicolas	0	0	
1429	Roberto Zicari	0	0	
1438	Minyoung Ra	0	0	
1443	Sang-goo Lee	0	3	
1449	Inderpal Singh Mumick	0	0	
1450	Oded Shmueli	0	0	
1454	Wee Keong Ng	0	1	
1463	Milad Shokouhi	0	3	
1466	Katia Obraczka	0	3	
1476	Matthias Schubert	0	1	
1480	Kothuri Venkata Ravi Kanth	0	0	
1482	Ambuj K. Singh	0	0	
1499	Stefano Ferilli	0	2	
1517	Fausto Rabitti	0	0	
1525	Oege de Moor	0	0	
1548	Sergio Greco	0	0	
1549	Francesco Bergadano	0	2	
1553	Franco Turini	0	1	
1554	Yan-Nong Huang	0	0	
1579	Victoria S. Uren	0	3	
1581	Ben Choi	0	1	
1588	Petteri Nurmi	0	3	
1597	Paolo Terenziani	0	2	
1634	Kazunori Matsumoto	0	3	
1640	Ziming Zhuang	0	3	
1644	Atsuhiro Takasu	0	3	
1650	Terrance E. Boult	0	2	
1653	Stefan A. Robila	0	1	
1656	Philippe Laborie	0	2	
1659	Werner Stephan	0	2	
1683	Huyen-Trang Vu	0	3	
1693	Hans Wegener	0	0	
1705	Jun Zhang 0002	0	1	
1720	M. Narasimha Murty	0	2	
1727	Iyer N. Subramanian	0	0	
1731	Pierre-Francois Marteau	0	3	
1733	Raghu Machiraju	0	1	
1734	Kouzou Ohara	0	1	
1754	David R. H. Miller	0	3	
1757	Hans W. Guesgen	0	2	
1758	H. Chang	0	0	
1762	Richard J. Lipton	0	0	
1787	Russell C. Swan	0	3	
1800	S. Muthukrishnan	0	0	
1808	Yali Zhu	0	0	
1809	Geguang Pu	0	3	
1838	Tony P. Ng	0	0	
1845	I. V. Ramakrishnan	0	3	
1850	Edward D. Lazowska	0	0	
1854	Jaswinder Pal Singh	0	3	
1865	Siobhan Devlin	0	3	
1880	Stephan Hartmann	0	3	
1882	Shengquan Wang	0	1	
1897	Long Wang	0	3	
1910	Jean-Luc Hainaut	0	0	
1912	Hui Fang	0	3	
1916	J. G. (Iain) Wallace	0	2	
1947	Thomas Brinkhoff	0	0	
1962	Alan R. Hevner	0	0	
1967	Giancarlo Martella	0	0	
1971	Laura M. Haas	0	0	
1981	Tommi Jaakkola	0	2	
1982	Abhijit Pol	0	0	
1984	Chun Tang	0	1	
1995	Zengjian Hu	0	1	
1997	Gabriel M. Kuper	0	0	
2025	Arnaud Sahuguet	0	0	
2027	Carol Small	0	0	
2028	Alberto H. F. Laender	0	3	
2048	Bernhard Seeger	0	0	
2053	Andreas Arning	0	1	
2062	Hong Hai Do	0	0	
2065	Andrew U. Frank	0	0	
2075	Sam Lightstone	0	0	
2080	Rainer Melchert	0	0	
2089	Bernhard Zeller	0	0	
2103	David W. Stemple	0	0	
2120	Lance R. Williams	0	2	
2121	Valeria De Antonellis	0	0	
2127	Brian A. Nixon	0	0	
2135	Ibrahim Kamel	0	0	
2137	Jonathan Tang	0	1	
